quantity,value,unit
"a. stand-alone in BOTH arms, kW/hh <=1 in R0 and >1 in R1",148562.0,settlements
"b. stand-alone in R0, kW/hh <=1 in R0 and >1 in R1 (as written)",148562.0,settlements
"c. all settlements, kW/hh <=1 in R0 and >1 in R1",148562.0,settlements
"d. stand-alone in BOTH arms, any change of cost band",148562.0,settlements
"e. stand-alone in R1, kW/hh >1 in R1 (level, not crossing)",169483.0,settlements
"f. stand-alone in R0, kW/hh >1 in R1 incl. switchers (level)",169483.0,settlements
band_frozen_delta_lcoe_pct_R1alloc,21.84341575161027,%
band_frozen_delta_lcoe_pct_nonswitchers,21.84341575161027,%
sa_frozen_delta_lcoe_pct_R1alloc,1.580558188360224,%
sa_frozen_delta_lcoe_pct_R0alloc,-0.5275669723205841,%
sa_frozen_delta_lcoe_pct_all_R0sa,-0.5275669723205841,%
delta_lcoe_pct_as_run,45.37752672398028,%
median_kw_per_hh_R0_standalone,0.7985094287724773,kW
median_kw_per_hh_R1_standalone,1.2101008195051937,kW
