n_mid,quantity,value
,index_alignment_r0_pct,100.0
,base_year_population_realised,18383607.607773006
20,index_alignment_r1_pct,100.0
20,delta_lcoe_pct,49.923139018903555
20,energy_weighted_lcoe_r0_usd_per_kwh,0.275685402561496
20,energy_weighted_lcoe_r1_usd_per_kwh,0.4133162093370955
20,r0_settlements_Grid,32058.0
20,r1_settlements_Grid,66519.0
20,r0_pop2030_Grid,15299038.669592367
20,r1_pop2030_Grid,15736679.669613691
20,r0_settlements_SA_PV,236843.0
20,r1_settlements_SA_PV,202382.0
20,r0_pop2030_SA_PV,6811682.111698978
20,r1_pop2030_SA_PV,6374041.111677655
20,r0_settlements_MG_PVHybrid,1625.0
20,r1_settlements_MG_PVHybrid,1625.0
20,r0_pop2030_MG_PVHybrid,2267900.559835992
20,r1_pop2030_MG_PVHybrid,2267900.559835992
20,settlements_changing_technology,34461.0
20,sa_pv_to_grid_switches,34461.0
20,population_switching_pop2030,437641.0000213241
20,population_switching_pct,1.795183549953306
20,investment_r0_bn_usd,15.578791807150655
20,investment_r1_bn_usd,22.6813187779345
20,d_investment_pct,45.59099998707084
20,capacity_r0_mw,2664.370315553945
20,capacity_r1_mw,2742.861635476808
20,d_capacity_pct,2.945961357723048
20,r0_investment_bn_usd_Grid,4.331516164690799
20,r0_capacity_mw_Grid,1211.2415592264308
20,r0_investment_bn_usd_SA_PV,9.83900827150165
20,r0_capacity_mw_SA_PV,1086.8987462749894
20,r0_investment_bn_usd_MG_PVHybrid,1.4082673709582048
20,r0_capacity_mw_MG_PVHybrid,366.2300100525252
20,r1_investment_bn_usd_Grid,5.014470191507424
20,r1_capacity_mw_Grid,1010.8227028842506
20,r1_investment_bn_usd_SA_PV,16.26015883218312
20,r1_capacity_mw_SA_PV,1365.8089225400333
20,r1_investment_bn_usd_MG_PVHybrid,1.406689754243946
20,r1_capacity_mw_MG_PVHybrid,366.2300100525252
20,median_sa_pv_lcoe_r0,1.0476243692681666
20,median_sa_pv_lcoe_r1,2.7544762320065157
20,median_grid_lcoe_r0,0.5387412728105476
20,median_grid_lcoe_r1,0.4947070074424597
10,index_alignment_r1_pct,100.0
10,delta_lcoe_pct,34.123496537599635
10,energy_weighted_lcoe_r0_usd_per_kwh,0.275685402561496
10,energy_weighted_lcoe_r1_usd_per_kwh,0.36975890135923567
10,r0_settlements_Grid,32058.0
10,r1_settlements_Grid,65657.0
10,r0_pop2030_Grid,15299038.669592367
10,r1_pop2030_Grid,15721519.627526479
10,r0_settlements_SA_PV,236843.0
10,r1_settlements_SA_PV,203244.0
10,r0_pop2030_SA_PV,6811682.111698978
10,r1_pop2030_SA_PV,6389201.153764866
10,r0_settlements_MG_PVHybrid,1625.0
10,r1_settlements_MG_PVHybrid,1625.0
10,r0_pop2030_MG_PVHybrid,2267900.559835992
10,r1_pop2030_MG_PVHybrid,2267900.559835992
10,settlements_changing_technology,33607.0
10,sa_pv_to_grid_switches,33603.0
10,population_switching_pop2030,422631.92350985116
10,population_switching_pct,1.7336169982543703
10,investment_r0_bn_usd,15.578791807150655
10,investment_r1_bn_usd,20.296540092493174
10,d_investment_pct,30.283146111350433
10,capacity_r0_mw,2664.370315553945
10,capacity_r1_mw,2594.279153583713
10,d_capacity_pct,-2.6306839391302517
10,r0_investment_bn_usd_Grid,4.331516164690799
10,r0_capacity_mw_Grid,1211.2415592264308
10,r0_investment_bn_usd_SA_PV,9.83900827150165
10,r0_capacity_mw_SA_PV,1086.8987462749894
10,r0_investment_bn_usd_MG_PVHybrid,1.4082673709582048
10,r0_capacity_mw_MG_PVHybrid,366.2300100525252
10,r1_investment_bn_usd_Grid,4.906184867166903
10,r1_capacity_mw_Grid,965.8630649408891
10,r1_investment_bn_usd_SA_PV,13.985464985012209
10,r1_capacity_mw_SA_PV,1262.1860785902995
10,r1_investment_bn_usd_MG_PVHybrid,1.4048902403140655
10,r1_capacity_mw_MG_PVHybrid,366.2300100525252
10,median_sa_pv_lcoe_r0,1.0476243692681666
10,median_sa_pv_lcoe_r1,2.6307435969226236
10,median_grid_lcoe_r0,0.5387412728105476
10,median_grid_lcoe_r1,0.4991813535894744
50,index_alignment_r1_pct,100.0
50,delta_lcoe_pct,70.55131425371094
50,energy_weighted_lcoe_r0_usd_per_kwh,0.275685402561496
50,energy_weighted_lcoe_r1_usd_per_kwh,0.47018507727426506
50,r0_settlements_Grid,32058.0
50,r1_settlements_Grid,66920.0
50,r0_pop2030_Grid,15299038.669592367
50,r1_pop2030_Grid,15742448.613158824
50,r0_settlements_SA_PV,236843.0
50,r1_settlements_SA_PV,201981.0
50,r0_pop2030_SA_PV,6811682.111698978
50,r1_pop2030_SA_PV,6368272.168132521
50,r0_settlements_MG_PVHybrid,1625.0
50,r1_settlements_MG_PVHybrid,1625.0
50,r0_pop2030_MG_PVHybrid,2267900.559835992
50,r1_pop2030_MG_PVHybrid,2267900.559835992
50,settlements_changing_technology,34862.0
50,sa_pv_to_grid_switches,34862.0
50,population_switching_pop2030,443409.94356645783
50,population_switching_pct,1.81884749495007
50,investment_r0_bn_usd,15.578791807150655
50,investment_r1_bn_usd,25.807643924182152
50,d_investment_pct,65.65882799933473
50,capacity_r0_mw,2664.370315553945
50,capacity_r1_mw,2915.704340625559
50,d_capacity_pct,9.433149123617968
50,r0_investment_bn_usd_Grid,4.331516164690799
50,r0_capacity_mw_Grid,1211.2415592264308
50,r0_investment_bn_usd_SA_PV,9.83900827150165
50,r0_capacity_mw_SA_PV,1086.8987462749894
50,r0_investment_bn_usd_MG_PVHybrid,1.4082673709582048
50,r0_capacity_mw_MG_PVHybrid,366.2300100525252
50,r1_investment_bn_usd_Grid,5.136357831053487
50,r1_capacity_mw_Grid,1080.1576861572214
50,r1_investment_bn_usd_SA_PV,19.26284477622762
50,r1_capacity_mw_SA_PV,1469.3166444158135
50,r1_investment_bn_usd_MG_PVHybrid,1.4084413169010492
50,r1_capacity_mw_MG_PVHybrid,366.2300100525252
50,median_sa_pv_lcoe_r0,1.0476243692681666
50,median_sa_pv_lcoe_r1,2.855998826425189
50,median_grid_lcoe_r0,0.5387412728105476
50,median_grid_lcoe_r1,0.4930631470177102
