year,arm,n_mid,tech_code,n_settlements,population,investment_usd
2030,R0,N/A,1,32058,10726359.418362558,4331516164.690799
2030,R0,N/A,3,236843,5834938.389580905,9839008271.501648
2030,R0,N/A,5,1625,1822309.7998295426,1408267370.9582047
2030,R0,N/A,6,0,0.0,0.0
2030,R0,N/A,7,0,0.0,0.0
2030,R0,N/A,99,0,0.0,0.0
2035,R0,N/A,1,32058,10726359.418362558,1091912607.5969856
2035,R0,N/A,3,236843,5834938.389580905,860574013.8100809
2035,R0,N/A,5,1625,1822309.7998295426,144679505.175926
2035,R0,N/A,6,0,0.0,0.0
2035,R0,N/A,7,0,0.0,0.0
2035,R0,N/A,99,0,0.0,0.0
2030,R1,10,1,64262,11073908.331493676,4850684928.239094
2030,R1,10,3,204639,5487389.476449788,13420522948.23326
2030,R1,10,5,1625,1822309.7998295426,1404827031.4626446
2030,R1,10,6,0,0.0,0.0
2030,R1,10,7,0,0.0,0.0
2030,R1,10,99,0,0.0,0.0
2035,R1,10,1,64262,11073908.331493676,902065143.5757837
2035,R1,10,3,204639,5487389.476449788,878239535.3567352
2035,R1,10,5,1625,1822309.7998295426,144613705.45452976
2035,R1,10,6,0,0.0,0.0
2035,R1,10,7,0,0.0,0.0
2035,R1,10,99,0,0.0,0.0
2030,R1,20,1,65723,11094950.509974897,4976657938.4305525
2030,R1,20,3,203178,5466347.297968566,15615641978.511005
2030,R1,20,5,1625,1822309.7998295426,1406450133.3238635
2030,R1,20,6,0,0.0,0.0
2030,R1,20,7,0,0.0,0.0
2030,R1,20,99,0,0.0,0.0
2035,R1,20,1,65723,11094950.509974897,920393167.7385867
2035,R1,20,3,203178,5466347.297968566,946308950.7047045
2035,R1,20,5,1625,1822309.7998295426,144566134.64250016
2035,R1,20,6,0,0.0,0.0
2035,R1,20,7,0,0.0,0.0
2035,R1,20,99,0,0.0,0.0
2030,R1,50,1,66400,11102082.99897492,5100819043.69833
2030,R1,50,3,202501,5459214.808968544,18623869309.83614
2030,R1,50,5,1625,1822309.7998295426,1408341387.329358
2030,R1,50,6,0,0.0,0.0
2030,R1,50,7,0,0.0,0.0
2030,R1,50,99,0,0.0,0.0
2035,R1,50,1,66400,11102082.99897492,954741882.2983868
2035,R1,50,3,202501,5459214.808968544,1016544255.2974689
2035,R1,50,5,1625,1822309.7998295426,145176103.8905722
2035,R1,50,6,0,0.0,0.0
2035,R1,50,7,0,0.0,0.0
2035,R1,50,99,0,0.0,0.0
