Admin_1,rho_pop_weighted_2030,rho_hh_weighted_2030,population_density_2022_per_km2,remp_connections,remp_demand_kW,remp_watts_per_connection
Lusaka,1.5612332450990438,1.5557171584442941,140.1,25627,5041,196.70659850938463
Copperbelt,1.766603197121613,1.7527592255510756,88.0,65998,12645,191.59671505197127
Luapula,1.8659802307651996,1.8531410390565435,29.9,67925,13110,193.006993006993
North-Western,2.0318658938869767,2.017232589705066,10.1,93608,17885,191.06272968122383
Eastern,2.132429872996596,2.1227925736978754,35.6,218793,41929,191.63775806355778
Northern,2.156680251402654,2.1439299098668854,20.8,52443,10253,195.5075033846271
Muchinga,2.253880424649102,2.2390225440996523,13.1,67357,12663,187.99827783303888
Southern,2.2690541064103478,2.2522050313680095,27.7,48987,9654,197.07269275522077
Western,2.3673477647337724,2.3516845115327225,10.8,42610,8328,195.44707815066886
Central,2.400924045684917,2.38315043917971,23.9,56212,11136,198.10716572973743
