variant,n_mid,dlcoe_pct,switches_sapv_grid,switches_total,d_investment_pct,switchers_shared_with_central,settlements_excluded
rural_tier2,10,-2.248780264757244,12,2583,-6.7406973041587825,,
rural_tier2,20,3.2644460848402668,72,1673,-1.3474502776287034,,
rural_tier2,50,8.384402526261603,436,886,4.107872599290774,,
horizon_2050_tier3,10,23.08423887419453,29941,29942,9.229168330145976,,
horizon_2050_tier3,20,34.88912942378939,32156,32157,17.837873032572425,,
horizon_2050_tier3,50,50.93378945146474,33016,33017,29.545903699789044,,
horizon_2050_tier2,20,-0.2239415499633579,11,1626,-12.70080573486807,,
anchor_fitted,fitted,49.373492535438324,34461,34461,44.958904274791344,34450.0,
capex_smooth,20,26.017211968547915,24066,24074,22.91977896609825,,
capex_monotone,20,20.370978879674073,16669,16688,17.462771834882297,,
full_reinvestment,20,50.55506948924708,34361,34361,53.41039965788967,,
single_household_excluded,20,47.41749176600003,26961,26961,43.01760864033331,,55157.0
central (published),20,49.92313901890362,34461,34461,45.59099998707079,,
